id;first_name;last_name;phone_number;email
1;Wilfrid;Reichert;Yen;Melody49@hotmail.com
2;Guillermo;Collins;deposit Metal;Jaydon.Homenick@yahoo.com
3;Delores;Schuppe;Niue Assimilated;Maya83@hotmail.com
4;Gilberto;Little;object-oriented Team-oriented;Shyann.Hayes53@hotmail.com
5;Amya;Jones;Frozen optimize back up;Rosella.Brown32@gmail.com
6;Jonathan;Jakubowski;deposit Home Loan Account;Gilbert_Considine56@yahoo.com
7;Joana;Bartell;Liberian Dollar GB solutions;Lindsey.OConner@gmail.com
8;Maryam;Bernhard;out-of-the-box;Everardo86@gmail.com
9;Alba;Goodwin;next-generation Avon;Fernando.Quigley85@gmail.com
10;Cheyenne;Mayert;Connecticut Metal Forint;Gerry21@hotmail.com
