id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-12-05T06:03:59;12617;25834
2;Miguel;Kling;Lynn.Buckridge@gmail.com;Wooden withdrawal;2020-12-05T01:04:19;9385;75289
3;Corrine;Wuckert;Arlo58@hotmail.com;Wooden;2020-12-05T03:13:21;90233;71649
4;Meredith;O'Hara;Deonte34@yahoo.com;Berkshire reinvent;2020-12-04T19:57:46;37356;15436
5;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-12-05T11:20:52;54263;80529
6;Unique;MacGyver;Jensen13@gmail.com;Music pink;2020-12-04T22:42:58;95916;18581
7;Myrtice;O'Hara;Imogene95@yahoo.com;calculate Concrete Soap;2020-12-05T01:39:30;95498;15970
8;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-12-04T15:42:09;43151;12407
9;Edwin;Abshire;June_Nicolas@gmail.com;Automated Small Concrete Chicken;2020-12-04T18:31:45;69929;43322
10;Casey;Schinner;Yasmine24@yahoo.com;e-business;2020-12-04T19:14:10;601;74069
