id;first_name;last_name;phone_number;address;email;age;gender
1;Magnus;Cassin;Graphical User Interface;Personal Loan Account;Zelda_Krajcik@hotmail.com;92654;MALE
2;Jerrold;Osinski;Macedonia Towels backing up;Savings Account;Hayden.Abernathy@yahoo.com;74724;FEMALE
3;Elliott;Pfeffer;FTP Toys;navigating withdrawal Credit Card Account;Athena_Mosciski@gmail.com;35589;FEMALE
4;Faustino;Sanford;even-keeled;Unbranded Pants;Marina.Moore@yahoo.com;5766;MALE
5;Randal;DuBuque;engineer GB Plastic;regional Frozen Checking Account;Jovani.Dibbert@gmail.com;9542;FEMALE
6;Eddie;Rohan;Steel;turquoise;Catherine67@yahoo.com;82449;MALE
7;Florida;Gerlach;Associate Lari;turn-key deposit;Danika.Hills@yahoo.com;32770;MALE
8;Santos;Howell;yellow port back up;Re-contextualized;Adele.Hammes32@gmail.com;32029;FEMALE
9;Giovani;Nitzsche;HDD ubiquitous e-tailers;Borders;Garfield_Cartwright@gmail.com;95646;FEMALE
10;Stanford;Leannon;circuit Chief;digital Fully-configurable Handcrafted Cotton Gloves;Greg.Schimmel@yahoo.com;3634;FEMALE
