id;first_name;last_name;phone_number;email;is_doctor
1;Ayana;MacGyver;back-end;Alessandro_Heller@yahoo.com;true
2;Florencio;Johns;synergy Tools;Greta8@gmail.com;false
3;Bernie;Hauck;empower Ergonomic Concrete Towels Forint;Marquise.Wilderman76@yahoo.com;false
4;Elwyn;Williamson;invoice;Leonie_Wintheiser@hotmail.com;false
5;Odessa;Klocko;Metal Sausages;Elijah_Nikolaus52@gmail.com;false
6;Carey;Marks;Sausages interactive;Coralie43@hotmail.com;true
7;Myrtie;Moen;SCSI;Triston_Hammes@hotmail.com;false
8;Thurman;Kulas;Home Loan Account;Kattie.Conroy@gmail.com;true
9;Cordelia;Bashirian;primary upward-trending;Kayley24@yahoo.com;true
10;Miracle;Heathcote;Applications matrix;Pearl.Bartoletti@hotmail.com;true
